original_name,german_translation,meaning
Sphere Space Living Foundries,Sphärenraum Lebende Gießereien,"Ein Name, der auf 'Lebende Gießereien' im Sphärenraum hinweist."
Sphere Space Earthborn Nexuses,Sphärenraum Erdengeborene Nexus,"Ein Name, der auf 'Erdengeborene Nexus' im Sphärenraum hinweist."
Sphere Space Solar Domus,Sphärenraum Solardomus,"Ein Name, der auf 'Solardomus' im Sphärenraum hinweist."
Sphere Space Pioneer Venture,Sphärenraum Pioneer Venture,"Ein Name, der auf 'Pioneer Venture' im Sphärenraum hinweist."
Sphere Space Lasting School,Sphärenraum Dauerhafte Schule,"Ein Name, der auf 'Dauerhafte Schule' im Sphärenraum hinweist."
Sphere Space Enduring Colonies,Sphärenraum Dauerhafte Kolonien,"Ein Name, der auf 'Dauerhafte Kolonien' im Sphärenraum hinweist."
Sphere Space Blue Signal,Sphärenraum Blaues Signal,"Ein Name, der auf 'Blaues Signal' im Sphärenraum hinweist."
Sphere Space Calm Peak,Sphärenraum Ruhige Gipfel,"Ein Name, der auf 'Ruhige Gipfel' im Sphärenraum hinweist."
Sphere Space Quiet Metropolises,Sphärenraum Ruhige Metropolen,"Ein Name, der auf 'Ruhige Metropolen' im Sphärenraum hinweist."
Sphere Space Harmonic Beacons,Sphärenraum Harmonische Beacons,"Ein Name, der auf 'Harmonische Beacons' im Sphärenraum hinweist."
Sphere Space Perennial Passage,Sphärenraum Mehrjährige Passage,"Ein Name, der auf 'Mehrjährige Passage' im Sphärenraum hinweist."
Sphere Space Pioneer Field,Sphärenraum Pionierfeld,"Ein Name, der auf 'Pionierfeld' im Sphärenraum hinweist."
Sphere Space Lane Program,Sphärenraum Spurprogramm,"Ein Name, der auf 'Spurprogramm' im Sphärenraum hinweist."
Sphere Space Balanced Enterprises,Sphärenraum Ausgeglichene Unternehmen,"Ein Name, der auf 'Ausgeglichene Unternehmen' im Sphärenraum hinweist."
Sphere Space Resilient Registries,Sphärenraum Widerstandsfähige Register,"Ein Name, der auf 'Widerstandsfähige Register' im Sphärenraum hinweist."
Sphere Space Civic Charter,Sphärenraum Bürgercharter,"Ein Name, der auf 'Bürgercharter' im Sphärenraum hinweist."
Sphere Space Open Sphere,Sphärenraum Offene Kugel,"Ein Name, der auf 'Offene Kugel' im Sphärenraum hinweist."
Sphere Space Stellar Frontier,Sphärenraum Herausragende Grenze,"Ein Name, der auf 'Herausragende Grenze' im Sphärenraum hinweist."
Sphere Space Calm Villages,Sphärenraum Ruhige Dörfer,"Ein Name, der auf 'Ruhige Dörfer' im Sphärenraum hinweist."
Sphere Space Balanced Hall,Sphärenraum Ausgeglichene Halle,"Ein Name, der auf 'Ausgeglichene Halle' im Sphärenraum hinweist."
Sphere Space Public Sanctuary,Sphärenraum Öffentliches Heiligtum,"Ein Name, der auf 'Öffentliches Heiligtum' im Sphärenraum hinweist."
Sphere Space Frontiers Initiative,Sphärenraum Grenzinitiative,"Ein Name, der auf 'Grenzinitiative' im Sphärenraum hinweist."
Sphere Space Earthborn Promenade,Sphärenraum Erdengeborene Promenade,"Ein Name, der auf 'Erdengeborene Promenade' im Sphärenraum hinweist."
Sphere Space Yards Initiative,Sphärenraum Yards -Initiative,"Ein Name, der auf 'Yards -Initiative' im Sphärenraum hinweist."
Sphere Space Solar Sky,Sphärenraum Solarhimmel,"Ein Name, der auf 'Solarhimmel' im Sphärenraum hinweist."
Sphere Space Future Garden,Sphärenraum Zukünftiger Garten,"Ein Name, der auf 'Zukünftiger Garten' im Sphärenraum hinweist."
Sphere Space Silver Continuum,Sphärenraum Silberkontinuum,"Ein Name, der auf 'Silberkontinuum' im Sphärenraum hinweist."
Sphere Space Quiet Ventures,Sphärenraum Ruhige Unternehmungen,"Ein Name, der auf 'Ruhige Unternehmungen' im Sphärenraum hinweist."
Sphere Space Foundation Initiative,Sphärenraum Foundation Initiative,"Ein Name, der auf 'Foundation Initiative' im Sphärenraum hinweist."
Sphere Space Stellar Commons,Sphärenraum Stellar Commons,"Ein Name, der auf 'Stellar Commons' im Sphärenraum hinweist."
Sphere Space Common Bridges,Sphärenraum Gemeinsame Brücken,"Ein Name, der auf 'Gemeinsame Brücken' im Sphärenraum hinweist."
Sphere Space Civic Awakening,Sphärenraum Bürgerwachen,"Ein Name, der auf 'Bürgerwachen' im Sphärenraum hinweist."
Sphere Space Biospheres Council,Sphärenraum Biosphärenrat,"Ein Name, der auf 'Biosphärenrat' im Sphärenraum hinweist."
Sphere Space Terran Nurseries,Sphärenraum Terranische Kindergärten,"Ein Name, der auf 'Terranische Kindergärten' im Sphärenraum hinweist."
Sphere Space New Enterprise,Sphärenraum Neues Unternehmen,"Ein Name, der auf 'Neues Unternehmen' im Sphärenraum hinweist."
Sphere Space Market Foundation,Sphärenraum Market Foundation,"Ein Name, der auf 'Market Foundation' im Sphärenraum hinweist."
Sphere Space Free Foundries,Sphärenraum Kostenlose Gießereien,"Ein Name, der auf 'Kostenlose Gießereien' im Sphärenraum hinweist."
Sphere Space Interorbital Stations,Sphärenraum Interorbitale Stationen,"Ein Name, der auf 'Interorbitale Stationen' im Sphärenraum hinweist."
Sphere Space Endowment Standards,Sphärenraum Stiftungsstandards,"Ein Name, der auf 'Stiftungsstandards' im Sphärenraum hinweist."
Sphere Space Lighthouses Trust,Sphärenraum Lighthouses Trust,"Ein Name, der auf 'Lighthouses Trust' im Sphärenraum hinweist."
Sphere Space Pioneer Terraces,Sphärenraum Pionierterrassen,"Ein Name, der auf 'Pionierterrassen' im Sphärenraum hinweist."
Sphere Space Bright Nursery,Sphärenraum Helles Kindergarten,"Ein Name, der auf 'Helles Kindergarten' im Sphärenraum hinweist."
Sphere Space Future Horizons,Sphärenraum Zukünftige Horizonte,"Ein Name, der auf 'Zukünftige Horizonte' im Sphärenraum hinweist."
Sphere Space Cooperative Network,Sphärenraum Kooperatives Netzwerk,"Ein Name, der auf 'Kooperatives Netzwerk' im Sphärenraum hinweist."
Sphere Space Earth Meshes,Sphärenraum Erdnetz,"Ein Name, der auf 'Erdnetz' im Sphärenraum hinweist."
Sphere Space Common Foundations,Sphärenraum Gemeinsame Grundlagen,"Ein Name, der auf 'Gemeinsame Grundlagen' im Sphärenraum hinweist."
Sphere Space Future Markets,Sphärenraum Zukünftige Märkte,"Ein Name, der auf 'Zukünftige Märkte' im Sphärenraum hinweist."
Sphere Space Timeless Hub,Sphärenraum Zeitloser Hub,"Ein Name, der auf 'Zeitloser Hub' im Sphärenraum hinweist."
Sphere Space Grid Alliance,Sphärenraum Gitterallianz,"Ein Name, der auf 'Gitterallianz' im Sphärenraum hinweist."
Sphere Space Harmonic Anchor,Sphärenraum Harmonischer Anker,"Ein Name, der auf 'Harmonischer Anker' im Sphärenraum hinweist."
Sphere Space Frontier Civics,Sphärenraum Frontier Civics,"Ein Name, der auf 'Frontier Civics' im Sphärenraum hinweist."
Sphere Space Blueprints Trust,Sphärenraum Blaupausen Trust,"Ein Name, der auf 'Blaupausen Trust' im Sphärenraum hinweist."
Sphere Space Timeless Villages,Sphärenraum Zeitlose Dörfer,"Ein Name, der auf 'Zeitlose Dörfer' im Sphärenraum hinweist."
Sphere Space Perennial Skyline,Sphärenraum Mehrjährige Skyline,"Ein Name, der auf 'Mehrjährige Skyline' im Sphärenraum hinweist."
Sphere Space Harmonic Summits,Sphärenraum Harmonische Gipfel,"Ein Name, der auf 'Harmonische Gipfel' im Sphärenraum hinweist."
Sphere Space Secure Nexus,Sphärenraum Sicherung von Nexus,"Ein Name, der auf 'Sicherung von Nexus' im Sphärenraum hinweist."
Sphere Space Refuge Standards,Sphärenraum Zufluchtsstandards,"Ein Name, der auf 'Zufluchtsstandards' im Sphärenraum hinweist."
Sphere Space Silver Archive,Sphärenraum Silberarchiv,"Ein Name, der auf 'Silberarchiv' im Sphärenraum hinweist."
Sphere Space Green Orbit,Sphärenraum Grüne Umlaufbahn,"Ein Name, der auf 'Grüne Umlaufbahn' im Sphärenraum hinweist."
Sphere Space Future Odysseys,Sphärenraum Zukünftige Odysseys,"Ein Name, der auf 'Zukünftige Odysseys' im Sphärenraum hinweist."
Sphere Space Global Laboratory,Sphärenraum Globales Labor,"Ein Name, der auf 'Globales Labor' im Sphärenraum hinweist."
Sphere Space Steady Paths,Sphärenraum Stetige Wege,"Ein Name, der auf 'Stetige Wege' im Sphärenraum hinweist."
Sphere Space Enduring School,Sphärenraum Dauerschule,"Ein Name, der auf 'Dauerschule' im Sphärenraum hinweist."
Sphere Space Next Villages,Sphärenraum Nächste Dörfer,"Ein Name, der auf 'Nächste Dörfer' im Sphärenraum hinweist."
Sphere Space Summit Network,Sphärenraum Summit -Netzwerk,"Ein Name, der auf 'Summit -Netzwerk' im Sphärenraum hinweist."
Sphere Space Silver Clinics,Sphärenraum Silberkliniken,"Ein Name, der auf 'Silberkliniken' im Sphärenraum hinweist."
Sphere Space Open Concourses,Sphärenraum Offene Concours,"Ein Name, der auf 'Offene Concours' im Sphärenraum hinweist."
Sphere Space Future Jetty,Sphärenraum Zukünftiger Steg,"Ein Name, der auf 'Zukünftiger Steg' im Sphärenraum hinweist."
Sphere Space Human Projects,Sphärenraum Menschliche Projekte,"Ein Name, der auf 'Menschliche Projekte' im Sphärenraum hinweist."
Sphere Space Living Green,Sphärenraum Lebend grün,"Ein Name, der auf 'Lebend grün' im Sphärenraum hinweist."
Sphere Space Prime Ways,Sphärenraum Erstklassige Wege,"Ein Name, der auf 'Erstklassige Wege' im Sphärenraum hinweist."
Sphere Space Conservatories Network,Sphärenraum Konservatorien Netzwerk,"Ein Name, der auf 'Konservatorien Netzwerk' im Sphärenraum hinweist."
Sphere Space Steady Agoras,Sphärenraum Stetige Agoras,"Ein Name, der auf 'Stetige Agoras' im Sphärenraum hinweist."
Sphere Space Earthborn Quay,Sphärenraum Earthborn Quay,"Ein Name, der auf 'Earthborn Quay' im Sphärenraum hinweist."
Sphere Space Public Pioneer,Sphärenraum Öffentlicher Pionier,"Ein Name, der auf 'Öffentlicher Pionier' im Sphärenraum hinweist."
Sphere Space Crest Program,Sphärenraum Crest -Programm,"Ein Name, der auf 'Crest -Programm' im Sphärenraum hinweist."
Sphere Space Free Endowments,Sphärenraum Kostenlose Stiftungen,"Ein Name, der auf 'Kostenlose Stiftungen' im Sphärenraum hinweist."
Sphere Space Earthborn Lane,Sphärenraum Earthborn Lane,"Ein Name, der auf 'Earthborn Lane' im Sphärenraum hinweist."
Sphere Space Global Awakening,Sphärenraum Globales Erwachen,"Ein Name, der auf 'Globales Erwachen' im Sphärenraum hinweist."
Sphere Space Spheres Standards,Sphärenraum Kugeln Standards,"Ein Name, der auf 'Kugeln Standards' im Sphärenraum hinweist."
Sphere Space Global Shore,Sphärenraum Globales Ufer,"Ein Name, der auf 'Globales Ufer' im Sphärenraum hinweist."
Sphere Space Secure Theater,Sphärenraum Sicheres Theater,"Ein Name, der auf 'Sicheres Theater' im Sphärenraum hinweist."
Sphere Space Yard Foundation,Sphärenraum Yard Foundation,"Ein Name, der auf 'Yard Foundation' im Sphärenraum hinweist."
Sphere Space Common Terraces,Sphärenraum Gemeinsame Terrassen,"Ein Name, der auf 'Gemeinsame Terrassen' im Sphärenraum hinweist."
Sphere Space Blue Protocol,Sphärenraum Blaues Protokoll,"Ein Name, der auf 'Blaues Protokoll' im Sphärenraum hinweist."
Sphere Space Blue Market,Sphärenraum Blauer Markt,"Ein Name, der auf 'Blauer Markt' im Sphärenraum hinweist."
Sphere Space Balanced Sancta,Sphärenraum Ausgewogenes Sanftmut,"Ein Name, der auf 'Ausgewogenes Sanftmut' im Sphärenraum hinweist."
Sphere Space Coast Network,Sphärenraum Küstennetzwerk,"Ein Name, der auf 'Küstennetzwerk' im Sphärenraum hinweist."
Sphere Space Green Suns,Sphärenraum Grüne Sonnen,"Ein Name, der auf 'Grüne Sonnen' im Sphärenraum hinweist."
Sphere Space Resilient Theaters,Sphärenraum Widerstandsfähige Theater,"Ein Name, der auf 'Widerstandsfähige Theater' im Sphärenraum hinweist."
Sphere Space True Terraces,Sphärenraum Wahre Terrassen,"Ein Name, der auf 'Wahre Terrassen' im Sphärenraum hinweist."
Sphere Space Quiet Boulevards,Sphärenraum Ruhige Boulevards,"Ein Name, der auf 'Ruhige Boulevards' im Sphärenraum hinweist."
Sphere Space Terran Arboreta,Sphärenraum Terraner Arboreta,"Ein Name, der auf 'Terraner Arboreta' im Sphärenraum hinweist."
Sphere Space Next Mesh,Sphärenraum Nächstes Netz,"Ein Name, der auf 'Nächstes Netz' im Sphärenraum hinweist."
Sphere Space Next Academy,Sphärenraum Nächste Akademie,"Ein Name, der auf 'Nächste Akademie' im Sphärenraum hinweist."
Sphere Space Human Sphere,Sphärenraum Menschliche Sphäre,"Ein Name, der auf 'Menschliche Sphäre' im Sphärenraum hinweist."
Sphere Space Humane Forum,Sphärenraum Humanes Forum,"Ein Name, der auf 'Humanes Forum' im Sphärenraum hinweist."
Sphere Space Green Standard,Sphärenraum Grüner Standard,"Ein Name, der auf 'Grüner Standard' im Sphärenraum hinweist."
Sphere Space Eternal Summit,Sphärenraum Ewiger Gipfel,"Ein Name, der auf 'Ewiger Gipfel' im Sphärenraum hinweist."
Sphere Space Deep Domus,Sphärenraum Tiefer Domus,"Ein Name, der auf 'Tiefer Domus' im Sphärenraum hinweist."
Sphere Space Solar Playbook,Sphärenraum Solarspielbuch,"Ein Name, der auf 'Solarspielbuch' im Sphärenraum hinweist."
Sphere Space Golden Arcades,Sphärenraum Goldene Arkaden,"Ein Name, der auf 'Goldene Arkaden' im Sphärenraum hinweist."
Sphere Space Interorbital Odysseys,Sphärenraum Interorbitale Odysseys,"Ein Name, der auf 'Interorbitale Odysseys' im Sphärenraum hinweist."
Sphere Space Quiet Planets,Sphärenraum Ruhige Planeten,"Ein Name, der auf 'Ruhige Planeten' im Sphärenraum hinweist."
Sphere Space Forums Standards,Sphärenraum Forenstandards,"Ein Name, der auf 'Forenstandards' im Sphärenraum hinweist."
Sphere Space Next Sky,Sphärenraum Nächster Himmel,"Ein Name, der auf 'Nächster Himmel' im Sphärenraum hinweist."
Sphere Space Lasting Foundations,Sphärenraum Dauerhafte Grundlagen,"Ein Name, der auf 'Dauerhafte Grundlagen' im Sphärenraum hinweist."
Sphere Space Steady Colonies,Sphärenraum Stetige Kolonien,"Ein Name, der auf 'Stetige Kolonien' im Sphärenraum hinweist."
Sphere Space Interorbital Project,Sphärenraum Interorbitales Projekt,"Ein Name, der auf 'Interorbitales Projekt' im Sphärenraum hinweist."
Sphere Space Silver Passages,Sphärenraum Silberpassagen,"Ein Name, der auf 'Silberpassagen' im Sphärenraum hinweist."
Sphere Space True Concourses,Sphärenraum Wahre Concours,"Ein Name, der auf 'Wahre Concours' im Sphärenraum hinweist."
Sphere Space Universal Gardens,Sphärenraum Universalgärten,"Ein Name, der auf 'Universalgärten' im Sphärenraum hinweist."
Sphere Space Clusters Initiative,Sphärenraum Cluster -Initiative,"Ein Name, der auf 'Cluster -Initiative' im Sphärenraum hinweist."
Sphere Space Pioneer Depot,Sphärenraum Pioneer Depot,"Ein Name, der auf 'Pioneer Depot' im Sphärenraum hinweist."
Sphere Space Balanced Anchor,Sphärenraum Ausgeglichener Anker,"Ein Name, der auf 'Ausgeglichener Anker' im Sphärenraum hinweist."
Sphere Space Silver Harbour,Sphärenraum Silver Harbor,"Ein Name, der auf 'Silver Harbor' im Sphärenraum hinweist."
Sphere Space Bright Libraries,Sphärenraum Helle Bibliotheken,"Ein Name, der auf 'Helle Bibliotheken' im Sphärenraum hinweist."
Sphere Space Civic Fellowships,Sphärenraum Bürgerstiftungen,"Ein Name, der auf 'Bürgerstiftungen' im Sphärenraum hinweist."
Sphere Space Humane Forums,Sphärenraum Humane Foren,"Ein Name, der auf 'Humane Foren' im Sphärenraum hinweist."
Sphere Space Orbital Atria,Sphärenraum Orbitalattria,"Ein Name, der auf 'Orbitalattria' im Sphärenraum hinweist."
Sphere Space Timeless Council,Sphärenraum Zeitloser Rat,"Ein Name, der auf 'Zeitloser Rat' im Sphärenraum hinweist."
Sphere Space Concourses Initiative,Sphärenraum Concours -Initiative,"Ein Name, der auf 'Concours -Initiative' im Sphärenraum hinweist."
Sphere Space Secure Foundry,Sphärenraum Gießer sichere Gießerei,"Ein Name, der auf 'Gießer sichere Gießerei' im Sphärenraum hinweist."
Sphere Space Terran Depots,Sphärenraum Terranische Depots,"Ein Name, der auf 'Terranische Depots' im Sphärenraum hinweist."
Sphere Space Secure Starlight,Sphärenraum Sichern Sie Sternenlicht,"Ein Name, der auf 'Sichern Sie Sternenlicht' im Sphärenraum hinweist."
Sphere Space Green Conservatory,Sphärenraum Grüner Konservatorium,"Ein Name, der auf 'Grüner Konservatorium' im Sphärenraum hinweist."
Sphere Space Timeless Way,Sphärenraum Zeitlosem Weg,"Ein Name, der auf 'Zeitlosem Weg' im Sphärenraum hinweist."
Sphere Space United Schools,Sphärenraum Vereinigte Schulen,"Ein Name, der auf 'Vereinigte Schulen' im Sphärenraum hinweist."
Sphere Space Free Anchors,Sphärenraum Freie Anker,"Ein Name, der auf 'Freie Anker' im Sphärenraum hinweist."
Sphere Space Mesh Standards,Sphärenraum Netzstandards,"Ein Name, der auf 'Netzstandards' im Sphärenraum hinweist."
Sphere Space Perennial Libraries,Sphärenraum Mehrjährige Bibliotheken,"Ein Name, der auf 'Mehrjährige Bibliotheken' im Sphärenraum hinweist."
Sphere Space Green Harborlines,Sphärenraum Grüne Hafenlinien,"Ein Name, der auf 'Grüne Hafenlinien' im Sphärenraum hinweist."
Sphere Space Secure Programs,Sphärenraum Sichere Programme,"Ein Name, der auf 'Sichere Programme' im Sphärenraum hinweist."
Sphere Space Universal Charters,Sphärenraum Universal Charters,"Ein Name, der auf 'Universal Charters' im Sphärenraum hinweist."
Sphere Space Lasting Renewal,Sphärenraum Bleibende Erneuerung,"Ein Name, der auf 'Bleibende Erneuerung' im Sphärenraum hinweist."
Sphere Space Balanced Clinic,Sphärenraum Ausgeglichene Klinik,"Ein Name, der auf 'Ausgeglichene Klinik' im Sphärenraum hinweist."
Sphere Space Plaza Program,Sphärenraum Plaza -Programm,"Ein Name, der auf 'Plaza -Programm' im Sphärenraum hinweist."
Sphere Space Silver Lab,Sphärenraum Silberlabor,"Ein Name, der auf 'Silberlabor' im Sphärenraum hinweist."
Sphere Space Future Campuses,Sphärenraum Zukünftige Campus,"Ein Name, der auf 'Zukünftige Campus' im Sphärenraum hinweist."
Sphere Space Prime Halls,Sphärenraum Haupthallen,"Ein Name, der auf 'Haupthallen' im Sphärenraum hinweist."
Sphere Space Green Civic,Sphärenraum Grüne Bürger,"Ein Name, der auf 'Grüne Bürger' im Sphärenraum hinweist."
Sphere Space Golden Charters,Sphärenraum Goldene Charters,"Ein Name, der auf 'Goldene Charters' im Sphärenraum hinweist."
Sphere Space Green Stations,Sphärenraum Grüne Stationen,"Ein Name, der auf 'Grüne Stationen' im Sphärenraum hinweist."
Sphere Space Lasting Boulevard,Sphärenraum Dauerhaftes Boulevard,"Ein Name, der auf 'Dauerhaftes Boulevard' im Sphärenraum hinweist."
Sphere Space Green Registries,Sphärenraum Grün Registrien,"Ein Name, der auf 'Grün Registrien' im Sphärenraum hinweist."
Sphere Space Earthborn Charters,Sphärenraum Erdengeborene Chartas,"Ein Name, der auf 'Erdengeborene Chartas' im Sphärenraum hinweist."
Sphere Space Green Coasts,Sphärenraum Grüne Küsten,"Ein Name, der auf 'Grüne Küsten' im Sphärenraum hinweist."
Sphere Space Eternal Charter,Sphärenraum Ewige Charta,"Ein Name, der auf 'Ewige Charta' im Sphärenraum hinweist."
Sphere Space Domus Alliance,Sphärenraum Domus -Allianz,"Ein Name, der auf 'Domus -Allianz' im Sphärenraum hinweist."
Sphere Space Quiet Network,Sphärenraum Ruhiges Netzwerk,"Ein Name, der auf 'Ruhiges Netzwerk' im Sphärenraum hinweist."
Sphere Space Secure Anchorpoint,Sphärenraum Sichern Sie Anchorpoint,"Ein Name, der auf 'Sichern Sie Anchorpoint' im Sphärenraum hinweist."
